Label;Y;X
730;234;428
730;234;429
731;234;457
732;235;430
732;235;431
733;235;458
733;235;459
733;235;460
734;236;432
735;236;461
735;236;462
736;237;431
737;237;463
737;237;464
738;238;430
739;238;465
739;238;466
739;238;467
740;239;429
741;239;468
741;239;469
742;240;427
742;240;428
743;240;470
743;240;471
744;241;426
745;241;472
745;241;473
745;241;474
746;242;425
747;242;454
747;242;455
747;242;456
747;242;457
747;242;458
748;242;475
748;242;476
749;243;423
749;243;424
750;243;453
751;243;459
751;243;460
751;243;461
751;243;462
751;243;463
751;243;464
751;243;465
752;243;477
752;243;478
752;243;479
753;244;422
754;244;436
755;244;454
755;245;454
756;244;466
756;244;467
756;244;468
756;244;469
756;244;470
756;244;471
757;244;480
757;244;481
758;245;421
759;245;433
759;245;434
759;245;435
760;245;437
760;246;437
760;247;437
760;248;437
761;245;472
761;245;473
761;245;474
761;245;475
761;245;476
761;245;477
761;245;478
762;245;482
762;245;483
762;246;483
762;246;482
762;246;481
762;246;480
762;246;479
763;246;419
763;246;420
764;246;431
764;246;432
765;246;455
765;247;455
766;247;418
767;247;428
767;247;429
767;247;430
768;247;446
769;248;416
769;248;417
770;248;426
770;248;427
771;248;445
772;248;447
772;249;447
773;248;456
773;249;456
773;250;456
774;249;415
775;249;423
775;249;424
775;249;425
776;249;436
776;250;436
776;251;436
776;252;436
776;253;436
776;254;436
776;255;436
777;249;444
777;250;444
778;250;414
779;250;421
779;250;422
780;250;448
781;251;412
781;251;413
782;251;419
782;251;420
783;251;443
783;252;443
783;253;443
784;251;449
785;251;457
785;252;457
786;252;411
787;252;416
787;252;417
787;252;418
788;252;450
789;253;410
790;253;414
790;253;415
791;253;451
791;254;451
792;253;458
792;254;458
792;255;458
793;254;409
793;255;409
793;255;410
794;254;411
794;254;412
794;254;413
795;254;442
795;255;442
796;255;452
797;256;435
797;257;435
797;258;435
797;259;435
797;260;435
797;261;435
798;256;441
798;257;441
799;256;453
799;257;453
800;256;459
800;257;459
801;258;440
801;259;440
801;260;440
802;258;454
803;258;460
803;259;460
803;260;460
804;259;455
805;260;308
805;260;309
805;260;310
805;260;311
805;260;312
805;260;313
805;260;314
806;260;456
806;261;456
807;261;304
807;261;305
807;261;306
807;261;307
808;261;315
808;261;316
808;261;317
808;261;318
809;261;439
809;262;439
810;261;461
810;262;461
811;262;302
811;262;303
812;262;319
812;262;320
813;262;434
813;263;434
813;264;434
813;265;434
813;266;434
813;267;434
813;268;434
814;262;457
815;263;300
815;263;301
816;263;321
816;263;322
817;263;438
817;264;438
818;263;458
819;263;462
819;264;462
819;265;462
820;264;298
820;264;299
821;264;323
822;264;459
822;265;459
823;265;297
824;265;324
825;265;437
825;266;437
825;267;437
826;266;296
827;266;325
828;266;460
829;266;463
829;267;463
830;267;295
831;267;326
832;267;461
833;268;294
833;269;294
834;268;327
835;268;436
835;269;436
836;268;462
836;269;462
837;268;464
837;269;464
837;270;464
837;270;463
838;269;328
838;270;328
839;269;433
839;270;433
839;271;433
839;272;433
839;273;433
839;273;434
840;270;293
840;271;293
841;270;435
841;271;435
841;272;435
842;271;329
842;272;329
843;272;292
843;273;292
844;273;330
844;274;330
845;273;818
845;273;819
845;274;819
845;275;819
845;276;819
845;277;819
845;278;819
845;279;819
845;280;819
845;281;819
845;282;819
845;283;819
845;284;819
845;285;819
845;286;819
845;287;819
845;288;819
845;289;819
845;290;819
845;291;819
845;292;819
845;293;819
845;294;819
845;295;819
845;296;819
845;297;819
845;298;819
846;274;291
846;275;291
846;276;291
846;277;291
847;274;817
847;275;817
847;276;817
848;275;331
848;276;331
848;277;331
848;278;331
848;279;331
848;280;331
848;281;331
848;282;331
848;283;331
848;284;331
848;285;331
848;286;331
849;277;816
849;278;816
849;279;816
850;278;290
850;279;290
850;280;290
850;281;290
850;282;290
850;283;290
850;284;290
851;280;815
851;281;815
851;282;815
852;283;814
852;284;814
852;285;814
853;285;291
853;286;291
853;287;291
854;286;813
854;287;813
854;288;813
855;287;330
855;288;330
855;289;330
856;288;292
856;289;292
856;290;292
857;289;812
857;290;812
857;291;812
858;290;329
858;291;329
859;291;293
859;292;293
860;292;328
861;292;811
861;293;811
861;294;811
862;293;294
863;293;327
863;294;327
864;294;295
865;295;296
866;295;326
867;295;810
867;296;810
867;297;810
868;296;297
869;296;325
870;297;298
871;297;323
871;297;324
872;298;299
872;298;300
873;298;322
874;298;809
874;299;809
875;299;301
875;299;302
876;299;320
876;299;321
877;299;818
877;300;818
878;300;303
878;300;304
878;300;305
879;300;317
879;300;318
879;300;319
880;300;807
880;300;808
881;301;306
881;301;307
881;301;308
881;301;309
881;301;310
881;301;311
881;301;312
881;301;313
881;301;314
881;301;315
881;301;316
882;301;805
882;301;806
883;301;819
884;302;803
884;302;804
885;302;820
886;303;802
887;303;821
888;304;800
888;304;801
889;304;822
889;305;822
890;305;798
890;305;799
891;306;796
891;306;797
892;306;823
893;307;795
894;307;824
895;308;793
895;308;794
896;308;812
897;308;825
898;309;791
898;309;792
